V2,V3,rule,support,confidence,lift
"({'[Eubacterium] rectale', '[Ruminococcus] torques'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', '[Ruminococcus] torques'}) ({'Faecalibacterium prausnitzii'})",0.712458550450024,0.995893579628843,1.02623148015714
"({'[Eubacterium] rectale', '[Ruminococcus] torques'})",({'Fusicatenibacter saccharivorans'}),"({'[Eubacterium] rectale', '[Ruminococcus] torques'}) ({'Fusicatenibacter saccharivorans'})",0.703268593083847,0.983049069721769,1.07994383108077
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Blautia wexlerae'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Blautia wexlerae'}) ({'Faecalibacterium prausnitzii'})",0.705826622453813,0.997188881505486,1.02756637281973
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'})","({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans'})","({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'}) ({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans'})",0.710468972051161,0.958092754649281,1.12388206034936
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'}) ({'Anaerostipes hadrus'})",0.720322122216959,0.971383203340294,1.0767717008602
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'})",({'Blautia wexlerae'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'}) ({'Blautia wexlerae'})",0.705826622453813,0.951834610420076,1.07141425733569
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'})",({'Fusicatenibacter saccharivorans'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Faecalibacterium prausnitzii'}) ({'Fusicatenibacter saccharivorans'})",0.730554239696826,0.985176720379075,1.08228250613109
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Fusicatenibacter saccharivorans'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Fusicatenibacter saccharivorans'}) ({'Anaerostipes hadrus'})",0.710942681193747,0.970513279879176,1.07580690572873
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Fusicatenibacter saccharivorans'})",({'Faecalibacterium prausnitzii'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens', 'Fusicatenibacter saccharivorans'}) ({'Faecalibacterium prausnitzii'})",0.730554239696826,0.997284174383325,1.02766458794924
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})","({'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Anaerostipes hadrus', 'Faecalibacterium prausnitzii'})",0.720322122216959,0.968784101296258,1.08425451635957
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})","({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans', 'Faecalibacterium prausnitzii'})","({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans', 'Faecalibacterium prausnitzii'})",0.710468972051161,0.955529075657185,1.12676139568414
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})","({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans'})","({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Anaerostipes hadrus', 'Fusicatenibacter saccharivorans'})",0.710942681193747,0.956166189965581,1.12162199506545
"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'})",({'Anaerostipes hadrus'}),"({'[Eubacterium] rectale', 'Agathobaculum butyriciproducens'}) ({'Anaerostipes hadrus'})",0.720795831359545,0.969421215604654,1.07459645940753
